vin,make,model,year,color
1G6AA5RA7D0442258,Chevrolet,LUV,1979,Maroon
2HNYB1H22AH472295,Buick,Verano,2012,Puce
1N6AA0CJ7DN456797,Mercury,Sable,2001,Goldenrod
WVGFG9BP0BD019434,GMC,Sonoma Club Coupe,1997,Pink
JH4DC53883S261049,Pontiac,Firebird,1990,Pink
WAUBFAFL8FA695021,Lincoln,Town Car,2011,Crimson
3MZBM1K71EM855627,Chevrolet,Corvair,1960,Crimson
1GYS4FEJ8BR592757,Toyota,Land Cruiser,1996,Aquamarine
1N6AA0EC2EN288891,Jeep,Patriot,2009,Purple
WAUJC68E53A676082,Oldsmobile,Alero,2000,Turquoise
4T1BF1FK2EU292865,Chevrolet,Corvette,2000,Aquamarine
WAUVC58E75A129247,GMC,Savana Cargo Van,2006,Puce
WVGAV7AX8AW984941,Volkswagen,Jetta,1990,Purple
WDDHF2EB5DA041043,Mitsubishi,Truck,1988,Yellow
1G4PP5SK9C4044223,Chevrolet,TrailBlazer,2005,Puce
JN1CV6AP9CM908251,Chevrolet,Express 2500,2004,Crimson
3N1AB6AP7BL171026,Volvo,850,1995,Teal
WBAVA33587P819879,Peugeot,207,2007,Indigo
1N4AB7AP6EN522666,Mazda,B-Series Plus,2000,Yellow
3C63DPBL2CG825580,Mitsubishi,Mirage,1997,Maroon
JM1BL1K36B1684837,Dodge,Daytona,1984,Green
4T1BF1FK5CU210074,Subaru,Impreza,1999,Yellow
2V4RW3DG6BR512665,BMW,Z4,2003,Blue
1HGCP2E41AA299088,Ford,Econoline E150,1996,Fuscia
1GYFK63898R469209,BMW,545,2004,Purple
3D73M4CL1AG154444,Land Rover,Defender,1994,Turquoise
2FMPK4J9XFB042785,Mitsubishi,L300,1987,Goldenrod
TRUUT28N551766804,Mitsubishi,Mirage,1986,Turquoise
3D7TP2CT8BG228200,Buick,Regal,2001,Maroon
YV1902FH1D1443445,Isuzu,Trooper,1995,Khaki
1G6AB5S33F0950979,GMC,Savana,2010,Violet
1FTEW1C87AK469326,Toyota,Tacoma,1995,Pink
WVGDP9BP1ED477060,Mercedes-Benz,SL65 AMG,2006,Maroon
1G4GE5E36CF433335,Mercedes-Benz,CLK-Class,1998,Turquoise
1GYFC66868R852646,GMC,Savana,2010,Purple
1G4GA5GC8BF420853,Toyota,MR2,2005,Mauv
5J8TB3H54FL195327,GMC,Yukon XL 1500,2002,Pink
1FTEX1CM5BF777244,Mazda,Mazdaspeed 3,2007,Red
1G4GB5GR1EF513459,Mitsubishi,Pajero,1990,Red
1G6DA8EG3A0505098,Subaru,Loyale,1994,Pink
1G4GF5G34DF002844,Plymouth,Sundance,1994,Yellow
1G6AD5S3XD0558766,Rolls-Royce,Phantom,2013,Khaki
JM1NC2LFXC0403030,Lamborghini,Reventón,2008,Indigo
WBABS33432J524529,Plymouth,Prowler,1997,Goldenrod
1C4RJEAG7FC793883,Honda,Accord,1992,Aquamarine
5J8TB4H55FL236702,Hyundai,Elantra,2000,Red
JM3KE2BE3E0581491,Ford,Focus,2009,Blue
WBAFR7C50BC823283,GMC,3500,1997,Aquamarine
1N4AB7AP5DN595980,Subaru,Impreza,2008,Teal
5GAKRCKD8EJ873143,Chevrolet,Express 1500,2005,Orange
WBA5B3C59FD809021,Chevrolet,Tahoe,2009,Turquoise
WDDHF8JB7DA900867,Porsche,968,1994,Green
1FTWW3A52AE887221,Subaru,SVX,1992,Crimson
JH4KB16518C154804,Ford,E150,2003,Crimson
3C6TD5NT7CG319503,Acura,Integra,1996,Aquamarine
1GKS1EEFXCR090908,Nissan,Armada,2012,Khaki
WAUMFAFL0DA442216,BMW,3 Series,2010,Pink
5UMBT93566L682316,Mazda,MX-6,1994,Fuscia
SCFEBBBK4BG008785,Volkswagen,Jetta,1986,Maroon
WDCYC3HF9CX753469,Kia,Sportage,2005,Purple
1G6DL1E33C0994524,Chrysler,300,2009,Mauv
WBA3R5C58FF206077,Mercury,Sable,2009,Green
WBAHN83548D089552,Mitsubishi,Mighty Max,1996,Maroon
4T1BF1FK6CU326674,Mitsubishi,Starion,1986,Turquoise
SCBBB7ZH1DC845970,Pontiac,Sunbird,1990,Khaki
JN1AZ4EH9DM545213,GMC,Sonoma Club,1992,Aquamarine
WUAW2AFC9FN442334,Dodge,Neon,1998,Turquoise
19UYA42421A026359,Pontiac,Grand Am,1998,Blue
1YVHZ8BA6A5972150,Cadillac,STS-V,2009,Puce
5XYKT3A16BG077199,Pontiac,Grand Prix,1995,Indigo
1D7RV1CP2AS059991,Dodge,Ram 1500,2003,Yellow
WBAVT73567F450723,Mazda,MX-5,2004,Mauv
3VWF17AT7FM080327,Dodge,Ram Van 2500,2001,Mauv
WAUDT48H66K977499,Buick,LeSabre,2000,Violet
WAUNF98P67A131526,Porsche,Boxster,1998,Mauv
WDDHF2EB7CA899192,Mercury,Topaz,1991,Goldenrod
1G4CW54K124009107,Honda,Civic GX,2003,Red
4A4JM2AS7BE974268,Volkswagen,Golf,1996,Green
1GD020CG3CF822338,Kia,Rondo,2010,Puce
3D73Y4ELXBG635392,Oldsmobile,Achieva,1997,Puce
YV1612FH6D1434434,Mazda,626,1994,Orange
WA1EY94LX9D354034,Mitsubishi,Chariot,1993,Turquoise
WP1AA2A21BL650398,Chevrolet,Sportvan G20,1995,Red
1G6DK8E33C0349304,Porsche,911,1997,Puce
1FMEU3DE5AU048761,Audi,A6,2005,Purple
2C3CCADT0CH360209,Ford,Mustang,2006,Mauv
WDBWK5EA0AF447007,Volvo,S80,2008,Green
1G4GA5GR1CF993941,Toyota,Tercel,1996,Teal
3GYFNCEY2AS332263,Pontiac,Torrent,2008,Violet
WA1CKAFP4AA110170,Land Rover,LR2,2008,Orange
JH4DC53856S925893,Nissan,240SX,1996,Maroon
WBAKG7C57CE009965,Ford,Five Hundred,2005,Puce
JTDKN3DU5F0049938,Ford,F350,1994,Goldenrod
1FTFW1E81AF185653,Ferrari,458 Italia,2012,Khaki
SCBLF34F36C743581,Chevrolet,Lumina,1994,Pink
2T1BU4EE4BC873073,Pontiac,G6,2007,Puce
JHMFA3F20AS288480,Toyota,Corolla,1999,Orange
WBAEU33482P625151,Ford,Explorer,2000,Mauv
5GAKRCKD7DJ713592,Mercedes-Benz,E-Class,2007,Violet
JHMFA3F26AS822193,Kia,Sportage,1995,Mauv
WBA3V5C56FP888575,Cadillac,CTS,2008,Yellow
WAUHGBFC4DN725358,Plymouth,Colt,1994,Purple
3GYFNHE39DS582623,Plymouth,Grand Voyager,1995,Goldenrod
JTHFE2C2XA2555319,Subaru,Legacy,1997,Pink
WAUAH94F37N429997,Mitsubishi,Eclipse,2000,Red
WBADX7C52DE041667,Lincoln,Continental,1996,Goldenrod
WBABN534X3J505044,Chevrolet,Classic,2005,Crimson
1FMJK1F57AE313034,Subaru,Impreza,1995,Khaki
W04GX5GV7B1848652,Land Rover,Range Rover,2001,Goldenrod
1G6AB5RX6D0292337,Ford,Escort,1988,Yellow
